id_tags,Title,Author,Original Price (COP),Actual Price (COP),Discount %,Units Left,Link,Number of Opinions,Extra Information,Date
53802461,Siddhartha: Philosophical Novel (libro en Inglés),Hermann Hesse, 82.196, 53.427,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-philosophical-novel-libro-en-ingles/9788027309481/p/53802461,(0),"['', ' 2020', ' Tapa blanda', 'Nuevo']",2023-11-06
51060495,Siddhartha (libro en inglés),Hermann Hesse, 102.437, 66.584,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781453833131/p/51060495,(0),"['Createspace', ' 2010', ' Tapa blanda', 'Nuevo']",2023-11-06
4957875,Siddhartha (libro en Inglés),Hermann Hesse, 132.150, 85.897,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781613822029/p/4957875,(0),"['Simon & Brown', ' Tapa Blanda', 'Nuevo']",2023-11-06
54853266,Siddhartha (Libro en Inglés),"Hesse, Hermann", 108.751, 70.688,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781940177748/p/54853266,(0),"['Blackrock Classics', ' Tapa Blanda', 'Nuevo']",2023-11-06
53904594,Siddhartha (libro en Inglés),Hermann Hesse, 113.858, 74.008,35,Quedan 96 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781420951486/p/53904594,(0),"['Revival Waves Of Glory Ministr', ' 2015', ' Tapa blanda', 'Nuevo']",2023-11-06
19508842,siddhartha,"Hesse, Hermann ; Ford, James H.", 154.527, 100.443,35,Quedan 86 unidades,https://www.buscalibre.com.co/libro-siddhartha-bilingual-edition-german-english/9780976072645/p/19508842,(0),"['Digital Pulse Publishing', ' 2005', ' Tapa Blanda', 'Nuevo']",2023-11-06
54853279,Siddhartha (Libro en Inglés),"Hesse, Hermann", 108.751, 70.688,35,Quedan 79 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781940177137/p/54853279,(0),"['Blackrock Classics', ' Tapa Blanda', 'Nuevo']",2023-11-06
48444376,Siddhartha: (Starbooks Classics Editions),"Olesch, Gunther ; Dreher, Anke ; Coulter, Amy", 95.752, 62.239,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-starbooks-classics-editions/9781499167474/p/48444376,(0),"['Createspace Independent Publishing Platform', ' Tapa Blanda', 'Nuevo']",2023-11-06
18694357,Siddhartha (libro en Inglés),"Hesse, Hermann ; Hische, Jessica ; Neugroschel, Joachim", 172.447, 112.091,35,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9780143124337/p/18694357,(0),"['Penguin Books', ' 2013', ' Tapa Dura', 'Nuevo']",2023-11-06
47030303,Siddhartha (Penguin Modern Classics) (libro en Inglés),Hermann Hesse, 161.459, 104.948,35,Quedan 72 unidades,https://www.buscalibre.com.co/libro-siddhartha-penguin-modern-classics-libro-en-ingles/9780141189574/p/47030303,(0),"['Penguin Classics', ' 2008', ' Noª edición', ' Tapa blanda', 'Nuevo']",2023-11-06
49257869,The Gene: An Intimate History (libro en Inglés),Siddhartha Mukherjee, 182.376, 118.545,35,Quedan 18 unidades,https://www.buscalibre.com.co/libro-the-gene-an-intimate-history-libro-en-ingles/9780099584575/p/49257869,(0),"['Random House Uk', ' 2017', ' 1ª edición', ' Tapa blanda', 'Nuevo']",2023-11-06
53645999,Siddhartha (libro en Alemán),"Hesse, Hermann", 95.845, 62.299,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-aleman/9781492133148/p/53645999,(0),"['Createspace Independent Publishing Platform', ' 2013', ' Tapa Blanda', 'Nuevo']",2023-11-06
48430085,The Gene: An Intimate History,Siddhartha Mukherjee, 209.588, 136.232,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-gene-an-intimate-history/9781476733500/p/48430085,(0),"['Scribner Book Company', ' Tapa Dura', 'Nuevo']",2023-11-06
3395722,Tráfico Sexual: El Negocio de la Esclavitud Moderna (Alianza Ensayo),Siddarth Kara, 236.742, 153.882,35,Quedan 15 unidades,https://www.buscalibre.com.co/libro-trafico-sexual-el-negocio-de-la-esclavitud-moderna-alianza-ensayo/9788420669694/p/3395722,(0),"['Alianza Editorial', ' 2010', ' 1ª edición', ' Tapa blanda', 'Nuevo']",2023-11-06
4698807,siddhartha,hermann hesse, 102.994, 66.946,35,Quedan 85 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781936594368/p/4698807,(0),"['tribeca books', 'Nuevo']",2023-11-06
8935494,Siddhartha,"hesse, hermann", 132.150, 85.897,35,Quedan 91 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781613822012/p/8935494,(0),"['simon & brown', 'Nuevo']",2023-11-06
25525526,Siddhartha (libro en Inglés),Hermann Hesse, 104.201, 67.731,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781441407870/p/25525526,(0),"['Createspace', ' 2010', ' Tapa Blanda', 'Nuevo']",2023-11-06
4355042,siddhartha,hermann hesse, 104.201, 67.731,35,Quedan 83 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781441407825/p/4355042,(0),"['createspace', ' 2010', 'Nuevo']",2023-11-06
48780198,In the Beginning and the End,Siddartha Beth Pierce, 151.556, 98.511,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-in-the-beginning-and-the-end/9781499501254/p/48780198,(0),"['Createspace', ' Tapa Blanda', 'Nuevo']",2023-11-06
3003364,Siddhartha: En Busca de la Verdad (Spanish Edition),Hermann Hesse, 100.859, 65.558,35,Quedan 54 unidades,https://www.buscalibre.com.co/libro-siddhartha-en-busca-de-la-verdad-spanish-edition/9789650060183/p/3003364,(0),"['Www.Bnpublishing.Com', ' 2008', ' N/Aª edición', ' Tapa blanda', 'Nuevo']",2023-11-06
54036223,Siddhartha: The Classic Novel (Essential Pocket Classics) (libro en Inglés),"Hesse, Hermann", 88.881, 57.773,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha-the-classic-novel-essential-pocket-classics-libro-en-ingles/9781250861849/p/54036223,(0),"[""St. Martin's Essentials"", ' 2022', ' Tapa Blanda', 'Nuevo']",2023-11-06
18924261,Happiness Is You,"gautam, dr siddhartha b.", 102.716, 66.765,35,Quedan 81 unidades,https://www.buscalibre.com.co/libro-happiness-is-you/9780615633435/p/18924261,(0),"['step press', ' 2012', 'Nuevo']",2023-11-06
54691292,Siddhartha Wisehouse Classics Edition (libro en Inglés),"Hesse, Hermann ; Wyllie, David", 92.502, 60.126,35,Quedan 61 unidades,https://www.buscalibre.com.co/libro-siddhartha-wisehouse-classics-edition-libro-en-ingles/9789176375495/p/54691292,(0),"['Wisehouse Classics', ' Tapa Blanda', 'Nuevo']",2023-11-06
54486379,Siddhartha (Signature Classics) (libro en Inglés),"Hesse, Hermann", 97.145, 63.144,35,Quedan 2 unidades,https://www.buscalibre.com.co/libro-siddhartha-signature-classics-libro-en-ingles/9781435172265/p/54486379,(0),"['Union Square & Co.', ' Tapa Blanda', 'Nuevo']",2023-11-06
25805450,Siddhartha,"hesse, hermann", 142.317, 92.506,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9782253008484/p/25805450,(0),"['livre de poche', ' 2002', 'Usado']",2023-11-06
51347928,The Laws of Medicine (libro en inglés) (),Siddhartha Mukherjee, 116.736, 75.879,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-laws-of-medicine-libro-en-ingles/9781442378124/p/51347928,(0),"['Simon & Schuster Audio', ' 2015', 'Nuevo']",2023-11-06
54979458,Siddhartha,"Hesse, Hermann", 120.018, 78.012,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788447309801/p/54979458,(0),"['Rba.', '', ' Tapa Dura', 'Usado']",2023-11-06
3755565,"the emperor of all maladies,a biography of cancer",Siddhartha Mukherjee, 195.660, 127.179,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-emperor-of-all-maladies-a-biography-of-cancer/9781439107959/p/3755565,(0),"['Scribner Book Company', ' 2010', ' Tapa Dura', 'Nuevo']",2023-11-06
48453969,The Laws of Medicine: Field Notes from an Uncertain Science (TED Books),Siddhartha Mukherjee, 125.929, 81.854,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-laws-of-medicine-field-notes-from-an-uncertain-science-ted-books/9781476784847/p/48453969,(0),"['Simon & Schuster/ TED', ' Tapa Dura', 'Nuevo']",2023-11-06
