Countries,Type of Coffee,Crop Group,Crop Year,Total Production (x1000 60kg) bags,Domestic Consumption (x1000 60kg) bags,Gross Opening Stock (x1000 60kg) bags,Exports Crop Year in (x1000 60kg) bags
Papua New Guinea,Arabica/Robusta,April Group,2016,1171,2,5,1169
Paraguay,Arabica,April Group,2016,20,20,0,0
Peru,Arabica,April Group,2016,4223,250,40,3973
Rwanda,Arabica,April Group,2016,231,1,10,230
Timor-Leste,Arabica,April Group,2016,82,0,0,82
Zimbabwe,Arabica,April Group,2016,15,4,0,11
Congo,Robusta,July Group,2016,3,3,0,0
Cuba,Arabica,July Group,2016,103,220,0,13
Dominican Republic,Arabica/Robusta,July Group,2016,412,390,27,24
Haiti,Arabica,July Group,2016,342,340,0,2
Philippines,Robustica/Arabica,July Group,2016,215,3030,0,15
Tanzania,Arabica/Robusta,July Group,2016,846,91,47,777
Zambia,Arabica,July Group,2016,13,0,0,13
Cameroon,Robustica/Arabica,October Group,2016,292,77,35,220
Central African Republic,Robusta,October Group,2016,37,20,0,17
Colombia,Arabica,October Group,2016,14634,1736,1196,13488
Costa Rica,Arabica,October Group,2016,1372,329,71,1007
Côte d'Ivoire,Robusta,October Group,2016,1117,317,665,966
Democratic Republic of Congo,Robustica/Arabica,October Group,2016,279,200,3,79
El Salvador,Arabica,October Group,2016,610,292,10,506
Equatorial Guinea,Robusta,October Group,2016,0,0,0,0
Ethiopia,Arabica,October Group,2016,7143,3571,500,3497
Gabon,Robusta,October Group,2016,1,1,0,0
Ghana,Robusta,October Group,2016,26,2,2,24
Guatemala,Arabica/Robusta,October Group,2016,3684,390,15,3294
Guinea,Robusta,October Group,2016,270,50,10,220
Guyana,Robusta,October Group,2016,10,9,0,1
Honduras,Arabica,October Group,2016,7457,370,467,7290
India,Robustica/Arabica,October Group,2016,6161,1440,655,6371
Jamaica,Arabica,October Group,2016,18,9,0,9
Kenya,Arabica,October Group,2016,793,60,20,723
Lao People's Democratic Republic,Robusta,October Group,2016,510,150,0,360
Liberia,Robusta,October Group,2016,12,5,0,7
Mexico,Arabica/Robusta,October Group,2016,3635,2360,630,2707
Nepal,Arabica,October Group,2016,1,0,0,1
Nicaragua,Arabica,October Group,2016,2555,217,107,2321
Nigeria,Robusta,October Group,2016,43,40,0,3
Panama,Arabica,October Group,2016,120,67,4,54
Sierra Leone,Robusta,October Group,2016,38,5,2,33
Sri Lanka,Robustica/Arabica,October Group,2016,37,35,0,2
Thailand,Robustica/Arabica,October Group,2016,538,1350,8,138
Togo,Robusta,October Group,2016,23,0,14,32
Trinidad & Tobago,Robusta,October Group,2016,12,10,0,2
Uganda,Robustica/Arabica,October Group,2016,4962,240,790,4605
Venezuela,Arabica,October Group,2016,525,1650,0,0
Viet Nam,Robustica/Arabica,October Group,2016,27819,2400,5000,25819
Yemen,Arabica,October Group,2016,143,100,0,43
Angola,Robustica/Arabica,April Group,2017,35,30,105,5
Bolivia (Plurinational State of),Arabica,April Group,2017,84,59,0,25
Brazil,Arabica/Robusta,April Group,2017,52740,21997,9872,30783
Burundi,Arabica/Robusta,April Group,2017,202,2,5,195
Ecuador,Arabica/Robusta,April Group,2017,624,155,3,644
Indonesia,Robustica/Arabica,April Group,2017,10852,4750,500,7761
Madagascar,Robusta,April Group,2017,404,365,10,39
Malawi,Arabica,April Group,2017,14,1,0,13
Papua New Guinea,Arabica/Robusta,April Group,2017,734,2,5,732
Paraguay,Arabica,April Group,2017,20,20,0,0
Peru,Arabica,April Group,2017,4279,250,40,4029
Rwanda,Arabica,April Group,2017,264,1,10,263
Timor-Leste,Arabica,April Group,2017,65,0,0,64
Zimbabwe,Arabica,April Group,2017,7,4,0,3
Congo,Robusta,July Group,2017,3,3,0,0
Cuba,Arabica,July Group,2017,113,220,0,23
Dominican Republic,Arabica/Robusta,July Group,2017,412,390,25,17
Haiti,Arabica,July Group,2017,342,340,0,2
Philippines,Robustica/Arabica,July Group,2017,203,3180,0,3
Tanzania,Arabica/Robusta,July Group,2017,783,92,25,692
Zambia,Arabica,July Group,2017,19,0,0,19
Cameroon,Robustica/Arabica,October Group,2017,370,78,30,312
Central African Republic,Robusta,October Group,2017,60,20,0,40
Colombia,Arabica,October Group,2017,13824,1793,927,12725
Costa Rica,Arabica,October Group,2017,1561,353,107,1197
Côte d'Ivoire,Robusta,October Group,2017,1624,317,500,1207
Democratic Republic of Congo,Robustica/Arabica,October Group,2017,382,200,3,182
El Salvador,Arabica,October Group,2017,760,300,22,575
Equatorial Guinea,Robusta,October Group,2017,0,0,0,0
Ethiopia,Arabica,October Group,2017,7347,3643,575,3654
Gabon,Robusta,October Group,2017,0,1,0,0
Ghana,Robusta,October Group,2017,13,2,2,11
Guatemala,Arabica/Robusta,October Group,2017,3734,395,15,3349
Guinea,Robusta,October Group,2017,229,50,10,169
Guyana,Robusta,October Group,2017,10,9,0,1
Honduras,Arabica,October Group,2017,7560,375,264,7214
India,Robustica/Arabica,October Group,2017,5813,1470,652,6395
Jamaica,Arabica,October Group,2017,19,9,0,10
Kenya,Arabica,October Group,2017,790,65,30,722
Lao People's Democratic Republic,Robusta,October Group,2017,533,155,0,378
Liberia,Robusta,October Group,2017,16,5,0,11
Mexico,Arabica/Robusta,October Group,2017,4485,2400,550,3076
Nepal,Arabica,October Group,2017,2,0,0,2
Nicaragua,Arabica,October Group,2017,2642,218,125,2424
Nigeria,Robusta,October Group,2017,42,40,0,2
Panama,Arabica,October Group,2017,105,67,3,36
Sierra Leone,Robusta,October Group,2017,38,5,2,28
Sri Lanka,Robustica/Arabica,October Group,2017,37,35,0,2
Thailand,Robustica/Arabica,October Group,2017,638,1375,8,236
Togo,Robusta,October Group,2017,115,0,5,109
Trinidad & Tobago,Robusta,October Group,2017,12,10,0,2
Uganda,Robustica/Arabica,October Group,2017,4597,245,907,4359
Venezuela,Arabica,October Group,2017,572,1600,0,72
Viet Nam,Robustica/Arabica,October Group,2017,33432,2500,4600,29732
Yemen,Arabica,October Group,2017,132,90,0,42
Angola,Robustica/Arabica,April Group,2018,42,30,105,12
Bolivia (Plurinational State of),Arabica,April Group,2018,83,60,0,23
Brazil,Arabica/Robusta,April Group,2018,65131,22200,9832,37870
Burundi,Arabica/Robusta,April Group,2018,204,2,10,192
Ecuador,Arabica/Robusta,April Group,2018,496,155,3,446
Indonesia,Robustica/Arabica,April Group,2018,9618,4800,400,4718
Madagascar,Robusta,April Group,2018,379,375,10,4
Malawi,Arabica,April Group,2018,13,1,0,12
Papua New Guinea,Arabica/Robusta,April Group,2018,930,2,5,928
Paraguay,Arabica,April Group,2018,20,20,0,0
Peru,Arabica,April Group,2018,4263,250,40,4001
Rwanda,Arabica,April Group,2018,380,1,10,379
Timor-Leste,Arabica,April Group,2018,139,0,0,139
Zimbabwe,Arabica,April Group,2018,10,4,0,6
Congo,Robusta,July Group,2018,3,3,0,0
Cuba,Arabica,July Group,2018,128,220,0,33
Dominican Republic,Arabica/Robusta,July Group,2018,431,390,30,36
Haiti,Arabica,July Group,2018,347,345,0,2
Philippines,Robustica/Arabica,July Group,2018,206,3300,0,6
Tanzania,Arabica/Robusta,July Group,2018,1175,92,25,1083
Zambia,Arabica,July Group,2018,34,0,0,34
Cameroon,Robustica/Arabica,October Group,2018,310,78,10,227
Central African Republic,Robusta,October Group,2018,37,20,0,17
Colombia,Arabica,October Group,2018,13866,1791,978,13502
Costa Rica,Arabica,October Group,2018,1427,365,118,1092
Côte d'Ivoire,Robusta,October Group,2018,2175,317,600,2108
Democratic Republic of Congo,Robustica/Arabica,October Group,2018,397,200,3,197
El Salvador,Arabica,October Group,2018,761,300,15,560
Equatorial Guinea,Robusta,October Group,2018,0,0,0,0
Ethiopia,Arabica,October Group,2018,7511,3685,625,3801
Gabon,Robusta,October Group,2018,1,1,0,0
Ghana,Robusta,October Group,2018,15,2,2,13
Guatemala,Arabica/Robusta,October Group,2018,4007,395,5,3607
Guinea,Robusta,October Group,2018,153,50,20,93
Guyana,Robusta,October Group,2018,10,9,0,1
Honduras,Arabica,October Group,2018,7153,375,234,6812
India,Robustica/Arabica,October Group,2018,5325,1475,500,6022
Jamaica,Arabica,October Group,2018,18,9,0,9
Kenya,Arabica,October Group,2018,930,70,33,843
Lao People's Democratic Republic,Robusta,October Group,2018,647,155,0,492
Liberia,Robusta,October Group,2018,6,5,0,1
Mexico,Arabica/Robusta,October Group,2018,4351,2450,800,2677
Nepal,Arabica,October Group,2018,1,0,1,1
Nicaragua,Arabica,October Group,2018,2879,220,125,2794
Nigeria,Robusta,October Group,2018,42,40,0,2
Panama,Arabica,October Group,2018,128,67,5,60
Sierra Leone,Robusta,October Group,2018,45,5,7,42
Sri Lanka,Robustica/Arabica,October Group,2018,36,35,0,1
Thailand,Robustica/Arabica,October Group,2018,482,1400,10,180
Togo,Robusta,October Group,2018,54,0,10,59
Trinidad & Tobago,Robusta,October Group,2018,13,10,0,3
Uganda,Robustica/Arabica,October Group,2018,4704,250,900,4454
Venezuela,Arabica,October Group,2018,578,1550,0,53
Viet Nam,Robustica/Arabica,October Group,2018,30283,2600,5800,28283
Yemen,Arabica,October Group,2018,86,65,0,21
Angola,Robustica/Arabica,April Group,2019,52,30,105,22
Bolivia (Plurinational State of),Arabica,April Group,2019,81,61,0,20
Brazil,Arabica/Robusta,April Group,2019,58211,22000,14893,40511
Burundi,Arabica/Robusta,April Group,2019,272,2,20,290
Ecuador,Arabica/Robusta,April Group,2019,559,149,3,488
Indonesia,Robustica/Arabica,April Group,2019,11433,4806,500,6627
Madagascar,Robusta,April Group,2019,383,375,10,8
Malawi,Arabica,April Group,2019,16,1,0,15
Papua New Guinea,Arabica/Robusta,April Group,2019,752,2,5,750
Paraguay,Arabica,April Group,2019,20,20,0,0
Peru,Arabica,April Group,2019,3836,250,52,3588
Rwanda,Arabica,April Group,2019,348,1,10,332
Timor-Leste,Arabica,April Group,2019,103,0,0,103
Zimbabwe,Arabica,April Group,2019,9,4,0,5
Congo,Robusta,July Group,2019,3,3,0,0
Cuba,Arabica,July Group,2019,130,216,0,14
Dominican Republic,Arabica/Robusta,July Group,2019,402,377,35,25
Haiti,Arabica,July Group,2019,347,345,0,2
Philippines,Robustica/Arabica,July Group,2019,307,3250,0,7
Tanzania,Arabica/Robusta,July Group,2019,926,95,25,831
Zambia,Arabica,July Group,2019,15,0,0,15
Cameroon,Robustica/Arabica,October Group,2019,268,77,15,186
Central African Republic,Robusta,October Group,2019,55,20,0,35
Colombia,Arabica,October Group,2019,14100,2025,416,12639
Costa Rica,Arabica,October Group,2019,1472,352,88,1104
Côte d'Ivoire,Robusta,October Group,2019,1929,317,350,1662
Democratic Republic of Congo,Robustica/Arabica,October Group,2019,391,198,3,183
El Salvador,Arabica,October Group,2019,661,292,25,364
Equatorial Guinea,Robusta,October Group,2019,0,0,0,0
Ethiopia,Arabica,October Group,2019,7343,3781,650,3812
Gabon,Robusta,October Group,2019,1,1,0,0
Ghana,Robusta,October Group,2019,14,2,2,2
Guatemala,Arabica/Robusta,October Group,2019,3606,393,10,3213
Guinea,Robusta,October Group,2019,178,50,30,128
Guyana,Robusta,October Group,2019,10,9,0,1
Honduras,Arabica,October Group,2019,5931,350,200,5506
India,Robustica/Arabica,October Group,2019,4988,1450,475,5314
Jamaica,Arabica,October Group,2019,23,9,0,14
Kenya,Arabica,October Group,2019,844,72,50,772
Lao People's Democratic Republic,Robusta,October Group,2019,622,157,0,465
Liberia,Robusta,October Group,2019,6,5,0,1
Mexico,Arabica/Robusta,October Group,2019,3985,2425,1136,2955
Nepal,Arabica,October Group,2019,1,0,0,1
Nicaragua,Arabica,October Group,2019,2882,210,125,2697
Nigeria,Robusta,October Group,2019,42,40,0,2
Panama,Arabica,October Group,2019,114,67,6,48
Sierra Leone,Robusta,October Group,2019,40,5,5,35
Sri Lanka,Robustica/Arabica,October Group,2019,36,35,0,1
Thailand,Robustica/Arabica,October Group,2019,517,1400,12,209
Togo,Robusta,October Group,2019,41,0,5,40
Trinidad & Tobago,Robusta,October Group,2019,12,10,0,2
Uganda,Robustica/Arabica,October Group,2019,5509,254,900,5355
Venezuela,Arabica,October Group,2019,650,1275,0,0
Viet Nam,Robustica/Arabica,October Group,2019,30487,2650,5200,26537
Yemen,Arabica,October Group,2019,91,64,0,27
